,link,subject
191,https://scholar.google.com//citations?user=tdKC1PYAAAAJ&hl=en,label:physics
192,https://scholar.google.com//citations?user=K6x9SH0AAAAJ&hl=en,label:physics
193,https://scholar.google.com//citations?user=-zgxVEUAAAAJ&hl=en,label:physics
194,https://scholar.google.com//citations?user=uZet4d0AAAAJ&hl=en,label:physics
195,https://scholar.google.com//citations?user=rOoNFe0AAAAJ&hl=en,label:physics
196,https://scholar.google.com//citations?user=sgVdTJsAAAAJ&hl=en,label:physics
197,https://scholar.google.com//citations?user=kF-IxT8AAAAJ&hl=en,label:physics
198,https://scholar.google.com//citations?user=oYJyyvkAAAAJ&hl=en,label:physics
199,https://scholar.google.com//citations?user=qc8LSC4AAAAJ&hl=en,label:physics
200,https://scholar.google.com//citations?user=wMl0M1oAAAAJ&hl=en,label:physics
201,https://scholar.google.com//citations?user=9rrnu-0AAAAJ&hl=en,label:physics
202,https://scholar.google.com//citations?user=OcDDqNkAAAAJ&hl=en,label:physics
203,https://scholar.google.com//citations?user=MCwaKvMAAAAJ&hl=en,label:physics
204,https://scholar.google.com//citations?user=CvQxOmwAAAAJ&hl=en,label:physics
205,https://scholar.google.com//citations?user=N4oy8fEAAAAJ&hl=en,label:physics
206,https://scholar.google.com//citations?user=9VbBuVgAAAAJ&hl=en,label:physics
207,https://scholar.google.com//citations?user=R8WeNmAAAAAJ&hl=en,label:physics
208,https://scholar.google.com//citations?user=Ng7hBtkAAAAJ&hl=en,label:physics
209,https://scholar.google.com//citations?user=TV94SmwAAAAJ&hl=en,label:physics
210,https://scholar.google.com//citations?user=e27AyhwAAAAJ&hl=en,label:physics
211,https://scholar.google.com//citations?user=HTc0uQoAAAAJ&hl=en,label:physics
212,https://scholar.google.com//citations?user=2Uo2YRMAAAAJ&hl=en,label:physics
213,https://scholar.google.com//citations?user=D_MJqFIAAAAJ&hl=en,label:physics
214,https://scholar.google.com//citations?user=OoUop_IAAAAJ&hl=en,label:physics
215,https://scholar.google.com//citations?user=SkypocUAAAAJ&hl=en,label:physics
216,https://scholar.google.com//citations?user=qNiz2QMAAAAJ&hl=en,label:physics
217,https://scholar.google.com//citations?user=TzrsEZkAAAAJ&hl=en,label:physics
218,https://scholar.google.com//citations?user=G3IbixAAAAAJ&hl=en,label:physics
219,https://scholar.google.com//citations?user=c72NG_sAAAAJ&hl=en,label:physics
220,https://scholar.google.com//citations?user=yrv0H1MAAAAJ&hl=en,label:physics
221,https://scholar.google.com//citations?user=_96HTRsAAAAJ&hl=en,label:physics
222,https://scholar.google.com//citations?user=4SVPX78AAAAJ&hl=en,label:physics
223,https://scholar.google.com//citations?user=QWE2JVQAAAAJ&hl=en,label:physics
224,https://scholar.google.com//citations?user=5wGd4NsAAAAJ&hl=en,label:physics
225,https://scholar.google.com//citations?user=Mmr2vPMAAAAJ&hl=en,label:physics
226,https://scholar.google.com//citations?user=AquBArcAAAAJ&hl=en,label:physics
227,https://scholar.google.com//citations?user=WeBsT_4AAAAJ&hl=en,label:physics
228,https://scholar.google.com//citations?user=iLmQAB8AAAAJ&hl=en,label:physics
229,https://scholar.google.com//citations?user=OYtx5csAAAAJ&hl=en,label:physics
230,https://scholar.google.com//citations?user=W1-hAXkAAAAJ&hl=en,label:physics
231,https://scholar.google.com//citations?user=TQtTWDUAAAAJ&hl=en,label:physics
232,https://scholar.google.com//citations?user=WGDWgAwAAAAJ&hl=en,label:physics
233,https://scholar.google.com//citations?user=pVqQOeoAAAAJ&hl=en,label:physics
234,https://scholar.google.com//citations?user=Mi9UYQkAAAAJ&hl=en,label:physics
235,https://scholar.google.com//citations?user=DMzCcsUAAAAJ&hl=en,label:physics
236,https://scholar.google.com//citations?user=phN9k60AAAAJ&hl=en,label:physics
237,https://scholar.google.com//citations?user=VzE9IuUAAAAJ&hl=en,label:physics
238,https://scholar.google.com//citations?user=0DlPkG4AAAAJ&hl=en,label:physics
239,https://scholar.google.com//citations?user=Q_-5uPsAAAAJ&hl=en,label:physics
240,https://scholar.google.com//citations?user=pZz448cAAAAJ&hl=en,label:physics
241,https://scholar.google.com//citations?user=ywaeGQ0AAAAJ&hl=en,label:physics
242,https://scholar.google.com//citations?user=Gf8Y0vwAAAAJ&hl=en,label:physics
243,https://scholar.google.com//citations?user=KLKk_9YAAAAJ&hl=en,label:physics
244,https://scholar.google.com//citations?user=d3OpPxMAAAAJ&hl=en,label:physics
245,https://scholar.google.com//citations?user=tzqMhnoAAAAJ&hl=en,label:physics
246,https://scholar.google.com//citations?user=MWvIwdkAAAAJ&hl=en,label:physics
247,https://scholar.google.com//citations?user=FkNo0_IAAAAJ&hl=en,label:physics
248,https://scholar.google.com//citations?user=IoznbWsAAAAJ&hl=en,label:physics
249,https://scholar.google.com//citations?user=hfMi3gsAAAAJ&hl=en,label:physics
250,https://scholar.google.com//citations?user=YsZ6EjkAAAAJ&hl=en,label:physics
251,https://scholar.google.com//citations?user=4FVdoT4AAAAJ&hl=en,label:physics
252,https://scholar.google.com//citations?user=Uf6YM_QAAAAJ&hl=en,label:physics
253,https://scholar.google.com//citations?user=OJiFC8cAAAAJ&hl=en,label:physics
254,https://scholar.google.com//citations?user=o31begkAAAAJ&hl=en,label:physics
255,https://scholar.google.com//citations?user=OVxeL7MAAAAJ&hl=en,label:physics
256,https://scholar.google.com//citations?user=2e17bXYAAAAJ&hl=en,label:physics
257,https://scholar.google.com//citations?user=1Idd1JoAAAAJ&hl=en,label:physics
258,https://scholar.google.com//citations?user=Q8IsHMQAAAAJ&hl=en,label:physics
259,https://scholar.google.com//citations?user=_FlfP-AAAAAJ&hl=en,label:physics
260,https://scholar.google.com//citations?user=_rTMWGkAAAAJ&hl=en,label:physics
261,https://scholar.google.com//citations?user=XalEet4AAAAJ&hl=en,label:physics
262,https://scholar.google.com//citations?user=3wT8v3YAAAAJ&hl=en,label:physics
263,https://scholar.google.com//citations?user=JT_OTAIAAAAJ&hl=en,label:physics
264,https://scholar.google.com//citations?user=bJLJi00AAAAJ&hl=en,label:physics
265,https://scholar.google.com//citations?user=p9CfqsoAAAAJ&hl=en,label:physics
266,https://scholar.google.com//citations?user=PIXSRdsAAAAJ&hl=en,label:physics
267,https://scholar.google.com//citations?user=sCdnMVYAAAAJ&hl=en,label:physics
268,https://scholar.google.com//citations?user=1NEmNk4AAAAJ&hl=en,label:physics
269,https://scholar.google.com//citations?user=PGJm3pIAAAAJ&hl=en,label:physics
270,https://scholar.google.com//citations?user=I_pDPJYAAAAJ&hl=en,label:physics
271,https://scholar.google.com//citations?user=dNS161AAAAAJ&hl=en,label:physics
272,https://scholar.google.com//citations?user=K7wXsg0AAAAJ&hl=en,label:physics
273,https://scholar.google.com//citations?user=C3PBYhUAAAAJ&hl=en,label:physics
274,https://scholar.google.com//citations?user=Kw_iWZEAAAAJ&hl=en,label:physics
275,https://scholar.google.com//citations?user=SG_1ZVoAAAAJ&hl=en,label:physics
276,https://scholar.google.com//citations?user=iVcoXyMAAAAJ&hl=en,label:physics
277,https://scholar.google.com//citations?user=LDiHSTcAAAAJ&hl=en,label:physics
278,https://scholar.google.com//citations?user=atpUzjMAAAAJ&hl=en,label:physics
279,https://scholar.google.com//citations?user=R05awGYAAAAJ&hl=en,label:physics
280,https://scholar.google.com//citations?user=8m1BMUAAAAAJ&hl=en,label:physics
281,https://scholar.google.com//citations?user=5XTWvnsAAAAJ&hl=en,label:physics
282,https://scholar.google.com//citations?user=cQpAnBUAAAAJ&hl=en,label:physics
283,https://scholar.google.com//citations?user=l5SGbzEAAAAJ&hl=en,label:physics
284,https://scholar.google.com//citations?user=lS6Nfe4AAAAJ&hl=en,label:physics
285,https://scholar.google.com//citations?user=-_NhnG4AAAAJ&hl=en,label:physics
286,https://scholar.google.com//citations?user=UxmHb8sAAAAJ&hl=en,label:physics
287,https://scholar.google.com//citations?user=O1ei02sAAAAJ&hl=en,label:physics
288,https://scholar.google.com//citations?user=wFkCm1kAAAAJ&hl=en,label:physics
289,https://scholar.google.com//citations?user=zfMlC4oAAAAJ&hl=en,label:physics
290,https://scholar.google.com//citations?user=e7vL-gQAAAAJ&hl=en,label:physics
291,https://scholar.google.com//citations?user=GuAcDgIAAAAJ&hl=en,label:physics
292,https://scholar.google.com//citations?user=u7zkNcYAAAAJ&hl=en,label:physics
293,https://scholar.google.com//citations?user=bzNZUiwAAAAJ&hl=en,label:physics
294,https://scholar.google.com//citations?user=hiwzq2AAAAAJ&hl=en,label:physics
295,https://scholar.google.com//citations?user=fPR9ZeMAAAAJ&hl=en,label:physics
296,https://scholar.google.com//citations?user=QkjRyiIAAAAJ&hl=en,label:physics
297,https://scholar.google.com//citations?user=KoHdmZEAAAAJ&hl=en,label:physics
298,https://scholar.google.com//citations?user=DvBfT_IAAAAJ&hl=en,label:physics
299,https://scholar.google.com//citations?user=T8o_MdkAAAAJ&hl=en,label:physics
300,https://scholar.google.com//citations?user=jAhgetoAAAAJ&hl=en,label:physics
301,https://scholar.google.com//citations?user=B03CvhEAAAAJ&hl=en,label:physics
302,https://scholar.google.com//citations?user=Aw3Bd5cAAAAJ&hl=en,label:physics
303,https://scholar.google.com//citations?user=l6fxpVIAAAAJ&hl=en,label:physics
304,https://scholar.google.com//citations?user=b5_U6BgAAAAJ&hl=en,label:physics
305,https://scholar.google.com//citations?user=xzCDWpkAAAAJ&hl=en,label:physics
306,https://scholar.google.com//citations?user=j2MGGBAAAAAJ&hl=en,label:physics
307,https://scholar.google.com//citations?user=4RPpb2UAAAAJ&hl=en,label:physics
308,https://scholar.google.com//citations?user=pzhG2RgAAAAJ&hl=en,label:physics
309,https://scholar.google.com//citations?user=ynFtpcwAAAAJ&hl=en,label:physics
