,H_index,H_index_5,I_index,I_index_5,prof_insti,prof_name,tot_citations,tot_citations_5
240,63,58,218,189,University of Groningen,Gerco Onderwater,24384,19151
241,84,82,231,231,NA,Dr. Zhou Xing,24380,22634
242,60,56,111,111,Eötvös Loránd University,Peter Raffai,24164,21840
243,66,39,173,103,Perimeter Institute,Lee Smolin,24145,8155
244,71,48,287,151,Homepage,John Spence  FRS,23844,11643
245,68,44,270,162,NA,Sergei V. Bulanov,23825,8848
246,71,46,144,95,Federal University of Rio de Janeiro,João R T  de Mello Neto,23820,8988
247,69,30,188,78,Cornell University,Bruce van Dover,23624,2986
248,7,4,7,2,Homepage,Stefan Scherer,23464,14208
249,48,35,118,79,University of North Carolina,John Wilkerson,23399,7422
250,45,34,83,54,University of Michigan,Shawn McKee,23353,15088
251,7,5,7,4,NA,Vacslav Glukhov,23337,6873
252,78,48,401,241,University of Akron,Stephen Z. D. Cheng,23300,9389
253,61,41,137,100,University of California at Berkeley,John Harte,23249,11112
254,74,65,184,161,Stuttgart University,Jörg Wrachtrup,23204,17099
255,50,23,103,51,Carnegie Mellon University,Robert H. Swendsen,23185,6817
256,61,55,154,132,INFN,Cristiano Palomba,23166,20060
257,67,40,136,94,Homepage,Haim Sompolinsky,23150,6812
258,75,51,156,127,Northeastern University,Alain Karma,23144,10198
259,54,38,141,106,University of Chicago,Matthew Newville,23136,12340
260,37,29,57,39,Fermilab,Donald Holmgren,23128,9331
261,60,46,115,90,NA,Gennady Gavrilov,23072,10716
262,80,42,264,139,UC Berkeley,Hugh Hudson,23036,6764
263,74,64,231,201,ESPCI Paris,Mickael Tanter,22981,15288
264,56,30,151,79,NA,isaac newton,22961,7950
265,60,38,170,99,Lawrence Livermore National Laboratory,Michael D. Feit,22880,6860
266,34,32,42,42,NA,Benjamin Rouillé d'Orfeuil,22670,19643
267,55,44,158,117,Northwestern University,M.S. Shahriar,22651,18641
268,55,40,142,87,Fribourg University,Yi-Cheng Zhang,22539,9361
269,63,63,102,99,Lawrence Berkeley National Laboratory,G Contin,22535,18294
270,69,43,159,128,Homepage,Pierluigi Belli,22524,7626
271,54,34,105,75,University of Delaware,John Gizis,22508,9379
272,75,59,211,156,"University of California, Berkeley",Adrian T LEE,22442,12029
273,65,44,162,121,University of Oxford,Pedro Ferreira,22394,8893
274,71,36,203,119,NA,Peter B Littlewood,22393,6877
275,59,28,127,60,Budker Institute of Nuclear Physics,Valery Telnov,22352,4933
276,64,31,129,69,NA,Daniel Rugar,22307,5659
277,71,39,216,115,Santa Fe Institute,Sidney Redner,22152,8001
278,70,54,131,112,brookhaven national lab,Raju Venugopalan,22028,11092
279,74,40,205,109,Homepage,Ad Lagendijk,21787,7430
280,34,20,100,44,NA,Maciej A. Nowak,21633,15310
281,58,46,543,366,Homepage,Avinash Singh,21612,14150
282,61,39,142,101,NA,David Hagan,21598,7063
283,80,52,173,127,University of Zurich,Gino Isidori,21557,10237
284,66,50,193,164,UNIST,Bartosz Grzybowski,21502,12380
285,74,66,287,261,Shandong University,Huang Baibiao   黄柏标,21451,17587
286,72,53,147,137,University of Namibia,Riaan Steenkamp,21339,9855
287,41,25,80,41,Michigan State University,J Pumplin,21291,10261
288,56,53,117,103,Max Planck Institute for Gravitational Physics,Thomas Dent,21228,20190
289,53,53,100,99,NA,Grant David Meadors,21219,20444
290,71,71,117,99,Bogolyubov Institute for Theoretical Physics,Evgenij Martynov,21151,18083
291,57,25,90,44,NA,N D Lang,21146,2618
292,70,45,246,158,UCLA,Paul S. Weiss,21115,9112
293,70,50,212,163,Utrecht University,Frank de Groot,21038,9727
294,47,21,53,35,NA,Steven Hawking,20976,4795
295,60,32,139,87,NA,Roberto Benzi,20922,6008
296,65,35,194,94,NA,Jeppe Olsen,20906,6840
297,72,42,261,173,Karlsruhe Institute of Technology,Manfred M. Kappes,20838,7066
298,55,53,115,103,NA,Angus S Bell,20821,19994
299,70,47,410,287,"University of Puerto Rico, Rio Piedras",Ram S. Katiyar,20789,11310
